grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0123,24,1,DOMINIO_CORPORATIVO,BAJA,True,12,1,61,5,1
CORP_0124,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0125,12,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,18,6,3
CORP_0126,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0127,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0128,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,98,4,2
CORP_0129,8,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,4,1,1
CORP_0130,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0131,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,13,2,2
CORP_0132,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0133,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0134,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0135,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0136,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0137,3,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,12,2,1
CORP_0138,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0139,7,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,29,3,2
CORP_0140,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0141,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,1,1
CORP_0142,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,49,5,3
CORP_0143,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0144,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0145,2,1,DOMINIO_CORPORATIVO,BAJA,True,1,1,0,1,1
CORP_0146,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,70,2,1
CORP_0147,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,2,2
CORP_0148,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,7,3,2
CORP_0149,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,43,4,1
CORP_0150,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0151,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,2,2
CORP_0152,8,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,40,4,1
CORP_0153,5,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,19,4,2
CORP_0154,3,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,30,3,2
CORP_0155,9,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,45,23,4
CORP_0156,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0157,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,2,1
CORP_0158,6,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,0,0,0
CORP_0159,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0160,5,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,21,4,1
CORP_0161,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0162,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0163,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
